Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,variant,arm,phase
BASE_T4,186,88,98,0,47.31,0.0008808484443769884,-7.87614306230136e-05,-4.2344855173663224e-07,-0.0004324461341145531,1.0009641413374867e-05,-9.79193750000002e-06,0.9179234888313197,-0.03977019573544008,0.007754788569376986,-1.0054372618163443,0.8065740740740741,0.2516666666666667,12.665,88,98,0,47.31,52.69,,0,0,-4.310180304862271,-0.4310180304862271,BASE,T4,select
BASE_T4,270,139,131,0,51.48,0.00123551000256459,-4.723380993541164e-05,-1.749400367978209e-07,-0.00017865722365754583,8.888561169529424e-06,-9.791937500000011e-06,0.9631775187881396,-0.024441690882933156,0.007786316190064588,-0.6029681298442169,0.4259228395061729,0.20402777777777775,6.7219444444444445,139,131,0,51.48,48.52,,0,0,-3.4016193704236546,-0.34016193704236547,BASE,T4,holdout
BASE_T5,456,272,184,0,59.65,0.002536813426661952,-0.0001657613233380517,-3.6351167398695547e-07,-0.0003712356967014499,9.32651995096306e-06,-1.4687906250000023e-05,0.9386654066319343,-0.04960185047218995,0.007667788676661948,-2.11604347119827,1.0156469298245614,0.37819444444444444,15.823055555555555,272,184,0,59.65,40.35,,0,0,-9.416094222812008,-0.9416094222812008,BASE,T5,full
BASE_T5,186,104,82,0,55.91,0.001024833666570962,-0.00017957464592904002,-9.6545508564e-07,-0.000985969411712442,9.854169870874634e-06,-1.4687906250000023e-05,0.8509021865215335,-0.04960185047218995,0.0076539753540709595,-2.2923788822314273,1.37531660692951,0.4798611111111111,15.823055555555555,104,82,0,55.91,44.09,,0,0,-11.222586934541281,-1.122258693454128,BASE,T5,select
BASE_T5,270,168,102,0,62.22,0.0015119797600909902,1.3813322590988317e-05,5.116045404069747e-08,5.224752919501129e-05,8.999879524351132e-06,-1.4687906250000023e-05,1.0092201522108841,-0.023673726619693417,0.007847363322590988,0.1763354110331683,0.7678744855967078,0.32416666666666666,10.7625,168,102,0,62.22,37.78,,0,0,1.8064927117292715,0.18064927117292714,BASE,T5,holdout
BASE_T6,456,229,227,0,50.22,0.0033103457602972285,-2.380895845277564e-05,-5.2212628185911496e-08,-5.332206030309246e-05,1.4455658341909294e-05,-1.4687906250000018e-05,0.9928590721003788,-0.047991824989871826,0.007809741041547224,-0.30393574372762355,1.5967086988304093,0.5611111111111111,36.17444444444445,229,227,0,50.22,49.78,,0,0,0.2525612691241639,0.02525612691241639,BASE,T6,full
BASE_T6,186,91,95,0,48.92,0.0013164836740570509,-7.886741969295133e-05,-4.240183854459749e-07,-0.0004330280758491103,1.4466853561066493e-05,-1.4687906250000025e-05,0.9434784406260108,-0.047991824989871826,0.007754682580307049,-1.0067902763491787,1.9464336917562726,0.6876388888888889,20.50138888888889,91,95,0,48.92,51.08,,0,0,-4.765168480731736,-0.4765168480731736,BASE,T6,select
BASE_T6,270,138,132,0,51.11,0.0019938620862401777,5.505846124017569e-05,2.0392022681546553e-07,0.0002082531948508306,1.4448275987247664e-05,-1.4687906250000016e-05,1.028398162934204,-0.021400836957764967,0.007888608461240176,0.7028545326215552,1.355787037037037,0.5016666666666667,36.17444444444445,138,132,0,51.11,48.89,,0,0,5.0177297498558975,0.5017729749855898,BASE,T6,holdout
BASE_T7,456,241,215,0,52.85,0.004776811411475417,0.0005662782864754107,1.2418383475337953e-06,0.0012682253614606871,1.9820794238487207e-05,-1.9583875000000026e-05,1.134490875540947,-0.05603940049566385,0.008399828286475411,7.22888456032591,2.959602826510721,1.149861111111111,90.375,241,215,0,52.85,47.15,,0,0,45.7530854845799,4.57530854845799,BASE,T7,full
BASE_T7,186,95,91,0,51.08,0.0018271199604236723,4.498733542366955e-05,2.4186739475091155e-07,0.0002470066774332577,1.9232841688670236e-05,-1.958387500000003e-05,1.0252435395618602,-0.05603940049566385,0.00787853733542367,0.5742905250323282,3.788454301075269,1.6629166666666668,41.11972222222222,95,91,0,51.08,48.92,,0,0,3.4247262884771255,0.34247262884771257,BASE,T7,select
BASE_T7,270,146,124,0,54.07,0.002949691451051744,0.0005212909510517411,1.93070722611756e-06,0.0019717315660129162,2.020336610309414e-05,-1.9583875000000023e-05,1.2146643237191481,-0.023906832736454397,0.008354840951051741,6.654594035293604,2.388616255144033,0.8786111111111111,90.375,146,124,0,54.07,45.93,,0,0,42.32835919610278,4.232835919610278,BASE,T7,holdout
BASE_T8,456,228,228,0,50.0,0.0016348694807954902,-3.2215004027699875e-05,-7.064693865723656e-08,-7.214806942674665e-05,7.170480178927588e-06,-7.311774056242061e-06,0.9806758419738298,-0.03485846124256314,0.0078013349959723,-0.4112439957324576,0.31247685185185187,0.15819444444444447,5.822222222222222,229,227,0,50.22,49.78,,0,0,-1.2456297489270156,-0.12456297489270156,BASE,T8,full
BASE_T8,186,91,95,0,48.92,0.000628149566408465,-6.218915278973034e-05,-3.343502838157545e-07,-0.00034145467515060663,6.90274248800511e-06,-7.266723359981004e-06,0.9099150155419924,-0.03485846124256314,0.0077713608472102695,-0.7938821197251644,0.36485513739546,0.17347222222222222,5.822222222222222,92,94,0,49.46,50.54,,0,0,-3.4310608833147733,-0.3431060883314773,BASE,T8,select
BASE_T8,270,137,133,0,50.74,0.0010067199143870252,2.9974148762030466e-05,1.1101536578529803e-07,0.00011337425896080109,7.348320542970987e-06,-7.34395312499996e-06,1.0306877693427736,-0.018429603822066883,0.00786352414876203,0.3826381239927068,0.2763940329218107,0.1498611111111111,3.841388888888889,137,133,0,50.74,49.26,,0,0,2.1854311343877564,0.21854311343877564,BASE,T8,holdout
BASE_T9,456,229,227,0,50.22,0.003342943879934966,8.789161184961794e-06,1.927447628281095e-08,1.968402707105851e-05,1.4598008209322997e-05,-1.4687906250000018e-05,1.0026360987795602,-0.04230884573644712,0.007842339161184961,0.11219895430503168,1.572385477582846,0.5398611111111111,36.17444444444445,229,227,0,50.22,49.78,,0,0,2.6274078139222206,0.26274078139222207,BASE,T9,full
BASE_T9,186,91,95,0,48.92,0.001333745204421368,-6.160588932863423e-05,-3.31214458756098e-07,-0.0003382522189874046,1.465654070792712e-05,-1.4687906250000025e-05,0.9558491840479598,-0.04230884573644712,0.0077719441106713655,-0.7864364091457188,1.9201926523297492,0.6675,20.50138888888889,91,95,0,48.92,51.08,,0,0,-3.6861007933285723,-0.3686100793328573,BASE,T9,select
BASE_T9,270,138,132,0,51.11,0.002009198675513598,7.039505051359602e-05,2.607224093096149e-07,0.00026626232991133276,1.4559410692127522e-05,-1.4687906250000016e-05,1.0363084995333633,-0.020296876766819384,0.007903945050513596,0.8986353634507394,1.332784979423868,0.4916666666666667,36.17444444444445,138,132,0,51.11,48.89,,0,0,6.313508607250787,0.6313508607250787,BASE,T9,holdout
