Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,arm,phase,kind,n_switches,top_selected_T,top_selected_T_share
C,128,67,61,0,52.34,0.0009360733868397576,2.0527230589757658e-05,1.603689889824817e-07,0.00016377656514094925,1.3971244579697875e-05,-1.500895338114754e-05,1.0224207490246429,-0.032837358707776286,0.007854077230589758,0.26204250422552366,2.4422504340277778,0.5901388888888889,36.35361111111112,67,61,0,52.34,47.66,,0,0,1.3397382093690862,0.13397382093690863,C,select,selector,41.0,T7,0.40625
C,202,119,83,0,58.91,0.0015826612311099688,0.00040028477798496783,1.9816078118067716e-06,0.002023713705083158,1.3299674211008141e-05,-1.4245499435240977e-05,1.3385425825480723,-0.013220721293318615,0.008233834777984967,5.10987710533497,0.8874257425742575,0.36125,10.533333333333331,119,83,0,58.91,41.09,,0,0,31.578872175842196,3.1578872175842196,C,holdout,selector,37.0,T7,0.36633663366336633
D,330,183,147,0,55.45,0.002838599534964128,0.00047629461308912617,1.4433170093609885e-06,0.0014739851120996119,1.5511472868656437e-05,-1.6070101509353752e-05,1.2016228339866823,-0.031579031669163204,0.008309844613089127,6.080188587410906,1.7279242424242425,0.5170833333333333,37.3125,183,147,0,55.45,44.55,,0,0,37.91640261462235,3.7916402614622347,D,full,selector,34.0,T7,0.5909090909090909
D,128,67,61,0,52.34,0.001024017263360048,3.013560711004787e-05,2.35434430547249e-07,0.00024043702336463534,1.528383975164251e-05,-1.6293141905737708e-05,1.0303211221582982,-0.03096137818743199,0.007863685607110048,0.3846992373834235,2.750199652777778,0.7730555555555556,37.3125,67,61,0,52.34,47.66,,0,0,1.9472292136471978,0.19472292136471978,D,select,selector,21.0,T7,0.5859375
D,202,116,86,0,57.43,0.0018145822716040799,0.0004461590059790783,2.2087079503914766e-06,0.0022556393465455386,1.564295061727655e-05,-1.591189843750002e-05,1.3260387463343102,-0.014743973388477211,0.008279709005979078,5.695489350027483,1.0801457645764576,0.4280555555555555,14.52777777777778,116,86,0,57.43,42.57,,0,0,35.96917340097516,3.596917340097516,D,holdout,selector,13.0,T7,0.594059405940594
E,330,176,154,0,53.33,0.001258498314480825,0.00012752953323082975,3.864531310025144e-07,0.0003946646217896316,7.150558605004688e-06,-7.343953124999969e-06,1.112761320511322,-0.01593683024107827,0.00796107953323083,1.627991564882203,0.16947643097643095,0.0906944444444444,2.286666666666666,176,154,0,53.33,46.67,,0,0,10.169883457469282,1.0169883457469282,E,full,selector,1.0,T1,1.0
E,128,67,61,0,52.34,0.0004607448916631059,1.2763751038107735e-05,9.971680498521668e-08,0.00010183562240386791,6.876789427807551e-06,-7.34395312499997e-06,1.028491715120642,-0.01593683024107827,0.007846313751038107,0.1629369958461746,0.20836805555555554,0.1034722222222222,2.286666666666666,67,61,0,52.34,47.66,,0,0,1.1288942856683777,0.11288942856683777,E,select,selector,1.0,T1,1.0
E,202,109,93,0,53.96,0.0007977534228177192,0.00011476578219272201,5.681474365976338e-07,0.0005802196313014024,7.318838741446965e-06,-7.34395312499997e-06,1.1680349326492945,-0.010557906904908052,0.007948315782192721,1.4650545690360284,0.14483223322332228,0.0859722222222222,0.9563888888888888,109,93,0,53.96,46.04,,0,0,9.040989171800902,0.9040989171800902,E,holdout,selector,0.0,T1,1.0
F,330,174,156,0,52.73,0.0013419856666061455,6.168983848114896e-05,1.869389044883302e-07,0.00019091104746975094,7.71256130233417e-06,-8.207024539262798e-06,1.0481840502218103,-0.02754344989163974,0.00789523983848115,0.7875080708127147,0.31707407407407406,0.1219444444444444,7.3975,174,156,0,52.73,47.27,,0,0,5.90829625835144,0.590829625835144,F,full,selector,15.0,T1,0.4121212121212121
F,128,66,62,0,51.56,0.0005127799039457363,1.3391091445738095e-05,1.0461790191982887e-07,0.00010684085955393131,7.769392484026307e-06,-8.054658266129003e-06,1.0268149608292199,-0.019480970221698382,0.007846941091445738,0.17094537528627995,0.4177039930555555,0.1372222222222222,7.3975,66,62,0,51.56,48.44,,0,0,1.2539909752815408,0.12539909752815406,F,select,selector,8.0,T8,0.4453125
F,202,108,94,0,53.47,0.0008292057626604092,4.829874703541084e-05,2.391027080960933e-07,0.0002441832457530427,7.677831135744529e-06,-8.307521442819132e-06,1.0618495493945013,-0.011894885801396825,0.007881848747035411,0.6165626955264347,0.2533085808580858,0.11736111111111105,7.164722222222222,108,94,0,53.47,46.53,,0,0,4.654305283069898,0.4654305283069898,F,holdout,selector,7.0,T1,0.4900990099009901
