arm,fraction,max_open,trades_signal,trades_executed,skipped_max_open,exposure_limited,fully_available,final_equity_usd,net_pnl_usd,return_pct,max_dd,max_dd_pct,max_simultaneous,max_exposure,win_rate_pct,profit_factor,avg_pnl_usd,sum_win_usd,sum_loss_usd,phase,sweep,candidate
A12.5_M6,0.125,6,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,maxopen_at_A12_5,E2+T7
A12.5_M6,0.125,6,202,199,3,0,199,1062.8224604991806,62.82246049918058,6.28224604991805,-0.025277933370807224,-2.5277933370807224,6,0.7382769992776335,54.77386934673367,1.2792109355519157,0.3156907562772907,287.82246049918035,-224.9999999999995,holdout,maxopen_at_A12_5,E2+T7
A12.5_M6,0.125,6,330,327,3,0,327,1079.8894548985381,79.88945489853813,7.988945489853805,-0.030841074284770603,-3.0841074284770604,6,0.7260787128925908,54.12844036697248,1.2130385463961042,0.24431025962855943,454.88945489853813,-374.9999999999992,full,maxopen_at_A12_5,E2+T7
A12.5_M8,0.125,8,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,maxopen_at_A12_5,E2+T7
A12.5_M8,0.125,8,202,202,0,0,202,1064.895856971019,64.89585697101893,6.489585697101896,-0.027592191980449137,-2.7592191980449137,8,0.9792629981726869,54.95049504950495,1.2852565141583268,0.3212666186684117,292.39585697101865,-227.49999999999946,holdout,maxopen_at_A12_5,E2+T7
A12.5_M8,0.125,8,330,330,0,0,330,1081.9628513703763,81.96285137037626,8.196285137037629,-0.030841074284770603,-3.0841074284770604,8,0.9631655392137933,54.24242424242424,1.2171201360804698,0.24837227687993108,459.46285137037637,-377.4999999999992,full,maxopen_at_A12_5,E2+T7
A12.5_M10,0.125,10,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,maxopen_at_A12_5,E2+T7
A12.5_M10,0.125,10,202,202,0,0,202,1064.895856971019,64.89585697101893,6.489585697101896,-0.027592191980449137,-2.7592191980449137,8,0.9792629981726869,54.95049504950495,1.2852565141583268,0.3212666186684117,292.39585697101865,-227.49999999999946,holdout,maxopen_at_A12_5,E2+T7
A12.5_M10,0.125,10,330,330,0,0,330,1081.9628513703763,81.96285137037626,8.196285137037629,-0.030841074284770603,-3.0841074284770604,8,0.9631655392137933,54.24242424242424,1.2171201360804698,0.24837227687993108,459.46285137037637,-377.4999999999992,full,maxopen_at_A12_5,E2+T7
A12.5_M12,0.125,12,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,maxopen_at_A12_5,E2+T7
A12.5_M12,0.125,12,202,202,0,0,202,1064.895856971019,64.89585697101893,6.489585697101896,-0.027592191980449137,-2.7592191980449137,8,0.9792629981726869,54.95049504950495,1.2852565141583268,0.3212666186684117,292.39585697101865,-227.49999999999946,holdout,maxopen_at_A12_5,E2+T7
A12.5_M12,0.125,12,330,330,0,0,330,1081.9628513703763,81.96285137037626,8.196285137037629,-0.030841074284770603,-3.0841074284770604,8,0.9631655392137933,54.24242424242424,1.2171201360804698,0.24837227687993108,459.46285137037637,-377.4999999999992,full,maxopen_at_A12_5,E2+T7
A5_M4,0.05,4,128,128,0,0,128,1006.8267977597432,6.826797759743158,0.6826797759743153,-0.01259390977673987,-1.259390977673987,4,0.19892528307807447,53.125,1.1137799626623874,0.05333435749799403,66.8267977597431,-59.999999999999865,select,grid,E2+T7
A5_M4,0.05,4,202,192,10,0,192,1026.154763713352,26.15476371335194,2.6154763713351903,-0.008284588978663528,-0.8284588978663527,4,0.19994822131525697,55.208333333333336,1.304125159457583,0.13622272767370866,112.15476371335187,-85.9999999999998,holdout,grid,E2+T7
A5_M4,0.05,4,330,320,10,0,320,1032.9815614730946,32.981561473094644,3.298156147309461,-0.01259390977673987,-1.259390977673987,4,0.19892528307807447,54.375,1.2259011059801055,0.10306737960342283,178.98156147309498,-145.99999999999966,full,grid,E2+T7
A5_M6,0.05,6,128,128,0,0,128,1006.8267977597432,6.826797759743158,0.6826797759743153,-0.01259390977673987,-1.259390977673987,4,0.19892528307807447,53.125,1.1137799626623874,0.05333435749799403,66.8267977597431,-59.999999999999865,select,grid,E2+T7
A5_M6,0.05,6,202,199,3,0,199,1025.1289841996718,25.128984199671777,2.51289841996718,-0.010265693547222952,-1.0265693547222952,6,0.2981065624687845,54.77386934673367,1.2792109355519157,0.12627630251091626,115.12898419967215,-89.99999999999979,holdout,grid,E2+T7
A5_M6,0.05,6,330,327,3,0,327,1031.955781959415,31.955781959414935,3.1955781959414953,-0.01259390977673987,-1.259390977673987,6,0.29609791983893546,54.12844036697248,1.2130385463961042,0.09772410385142377,181.95578195941522,-149.99999999999966,full,grid,E2+T7
A5_M8,0.05,8,128,128,0,0,128,1006.8267977597432,6.826797759743158,0.6826797759743153,-0.01259390977673987,-1.259390977673987,4,0.19892528307807447,53.125,1.1137799626623874,0.05333435749799403,66.8267977597431,-59.999999999999865,select,grid,E2+T7
A5_M8,0.05,8,202,202,0,0,202,1025.9583427884074,25.958342788407435,2.5958342788407363,-0.011235161722435877,-1.1235161722435878,8,0.39664027736295177,54.95049504950495,1.2852565141583265,0.12850664746736468,116.95834278840745,-90.99999999999979,holdout,grid,E2+T7
A5_M8,0.05,8,330,330,0,0,330,1032.7851405481501,32.78514054815014,3.278514054815007,-0.01259390977673987,-1.259390977673987,8,0.39397329194939096,54.24242424242424,1.21712013608047,0.0993489107519724,183.78514054815054,-150.99999999999966,full,grid,E2+T7
A5_M10,0.05,10,128,128,0,0,128,1006.8267977597432,6.826797759743158,0.6826797759743153,-0.01259390977673987,-1.259390977673987,4,0.19892528307807447,53.125,1.1137799626623874,0.05333435749799403,66.8267977597431,-59.999999999999865,select,grid,E2+T7
A5_M10,0.05,10,202,202,0,0,202,1025.9583427884074,25.958342788407435,2.5958342788407363,-0.011235161722435877,-1.1235161722435878,8,0.39664027736295177,54.95049504950495,1.2852565141583265,0.12850664746736468,116.95834278840745,-90.99999999999979,holdout,grid,E2+T7
A5_M10,0.05,10,330,330,0,0,330,1032.7851405481501,32.78514054815014,3.278514054815007,-0.01259390977673987,-1.259390977673987,8,0.39397329194939096,54.24242424242424,1.21712013608047,0.0993489107519724,183.78514054815054,-150.99999999999966,full,grid,E2+T7
A5_M12,0.05,12,128,128,0,0,128,1006.8267977597432,6.826797759743158,0.6826797759743153,-0.01259390977673987,-1.259390977673987,4,0.19892528307807447,53.125,1.1137799626623874,0.05333435749799403,66.8267977597431,-59.999999999999865,select,grid,E2+T7
A5_M12,0.05,12,202,202,0,0,202,1025.9583427884074,25.958342788407435,2.5958342788407363,-0.011235161722435877,-1.1235161722435878,8,0.39664027736295177,54.95049504950495,1.2852565141583265,0.12850664746736468,116.95834278840745,-90.99999999999979,holdout,grid,E2+T7
A5_M12,0.05,12,330,330,0,0,330,1032.7851405481501,32.78514054815014,3.278514054815007,-0.01259390977673987,-1.259390977673987,8,0.39397329194939096,54.24242424242424,1.21712013608047,0.0993489107519724,183.78514054815054,-150.99999999999966,full,grid,E2+T7
A7.5_M4,0.075,4,128,128,0,0,128,1010.2401966396147,10.240196639614737,1.024019663961484,-0.018760345676617926,-1.8760345676617927,4,0.2975883664840403,53.125,1.1137799626623872,0.08000153624699105,100.24019663961465,-89.99999999999982,select,grid,E2+T7
A7.5_M4,0.075,4,202,192,10,0,192,1039.2321455700278,39.2321455700278,3.9232145570027743,-0.012369838593109693,-1.2369838593109692,4,0.2998835130381822,55.208333333333336,1.304125159457583,0.20433409151056295,168.2321455700278,-128.9999999999997,holdout,grid,E2+T7
A7.5_M4,0.075,4,330,320,10,0,320,1049.4723422096424,49.47234220964242,4.947234220964236,-0.018760345676617926,-1.8760345676617927,4,0.2975883664840403,54.375,1.2259011059801048,0.1546010694051342,268.4723422096424,-218.99999999999955,full,grid,E2+T7
A7.5_M6,0.075,6,128,128,0,0,128,1010.2401966396147,10.240196639614737,1.024019663961484,-0.018760345676617926,-1.8760345676617927,4,0.2975883664840403,53.125,1.1137799626623872,0.08000153624699105,100.24019663961465,-89.99999999999982,select,grid,E2+T7
